chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CombinedDomainCategoryPlot.java, CombinedDomainCategoryPlot.java, 613, 255, 0.41598696, 109, 0.0038163941353559494
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CombinedDomainXYPlot.java, CombinedDomainXYPlot.java, 691, 300, 0.4341534, 123, 0.0035297025460749865
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CombinedRangeCategoryPlot.java, CombinedRangeCategoryPlot.java, 515, 209, 0.40582526, 82, 0.004949088674038649
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CombinedRangeXYPlot.java, CombinedRangeXYPlot.java, 646, 277, 0.42879257, 109, 0.0039338767528533936
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\ArrowNeedle.java, ArrowNeedle.java, 156, 78, 0.5, 17, 0.029411764815449715
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\CompassPlot.java, CompassPlot.java, 776, 338, 0.43556702, 108, 0.004033028148114681
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\LineNeedle.java, LineNeedle.java, 110, 69, 0.6272727, 9, 0.06969697028398514
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\LongNeedle.java, LongNeedle.java, 161, 74, 0.45962733, 14, 0.03283052518963814
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\MeterNeedle.java, MeterNeedle.java, 376, 198, 0.5265958, 45, 0.011702128686010838
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\MiddlePinNeedle.java, MiddlePinNeedle.java, 132, 71, 0.5378788, 10, 0.05378787964582443
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\package-info.java, package-info.java, 4, 3, 0.75, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\PinNeedle.java, PinNeedle.java, 130, 71, 0.54615384, 11, 0.04965034872293472
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\PlumNeedle.java, PlumNeedle.java, 120, 69, 0.575, 11, 0.052272725850343704
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\PointerNeedle.java, PointerNeedle.java, 140, 70, 0.5, 14, 0.0357142873108387
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\ShipNeedle.java, ShipNeedle.java, 119, 70, 0.5882353, 10, 0.05882353335618973
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\compass\WindNeedle.java, WindNeedle.java, 109, 65, 0.5963303, 9, 0.06625892221927643
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\Crosshair.java, Crosshair.java, 674, 377, 0.55934715, 83, 0.006739122327417135
